ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios;;;;
6187;1;8;0;56.0;446;;14;3;0;8;8;;;;
6187;0;18;0;44.0;363;;21;1;0;5;4;;;;
6191;1;20;0;60.0;552;;7;0;0;0;3;;;;
6191;0;11;0;40.0;357;;15;3;0;9;4;;;;
6190;1;14;0;49.0;521;;6;0;0;2;3;;;;
6190;0;15;0;51.0;550;;6;1;0;7;4;;;;
6192;1;12;0;45.0;399;;16;3;0;3;4;;;;
6192;0;9;0;55.0;484;;13;1;1;1;4;;;;
6195;1;17;0;61.0;459;;11;4;0;3;9;;;;
6195;0;14;0;39.0;297;;19;4;0;1;7;;;;
6197;1;16;0;51.0;433;;13;1;0;2;5;;;;
6197;0;9;0;49.0;442;;18;2;0;2;4;;;;
6199;1;3;0;51.0;393;;22;2;0;2;10;;;;
6199;0;8;0;49.0;392;;9;1;0;0;4;;;;
6193;1;11;0;64.0;509;;4;3;0;2;11;;;;
6193;0;11;0;36.0;301;;13;2;0;3;7;;;;
6198;1;12;0;44.0;303;;19;2;0;1;4;;;;
6198;0;19;0;56.0;388;;18;3;0;1;5;;;;
6196;1;26;0;55.0;443;;17;4;0;2;9;;;;
6196;0;10;0;45.0;395;;14;2;0;0;3;;;;
6194;1;7;0;49.0;457;;15;1;0;3;6;;;;
6194;0;11;0;51.0;473;;17;2;0;5;6;;;;
6200;1;13;0;30.0;221;;14;2;0;2;6;;;;
6200;0;13;0;70.0;526;;12;2;0;3;9;;;;
6201;1;12;0;51.0;453;;12;1;0;1;5;;;;
6201;0;8;0;49.0;447;;15;4;0;3;5;;;;
6206;1;16;0;53.0;516;;6;0;0;4;7;;;;
6206;0;8;0;47.0;491;;11;0;0;0;2;;;;
6205;1;20;0;60.0;440;;17;2;0;2;9;;;;
6205;0;15;0;40.0;301;;21;4;0;3;9;;;;
6203;1;19;0;59.0;503;;13;4;0;7;8;;;;
6203;0;10;0;41.0;354;;16;1;1;4;5;;;;
